token,label
ram uadagar jha,human
shiraj,human
sudhir m.no.-8295508258.,human
punit yadav,human
"lyme disease, neurologic",diagnosis
mazhar s/o azimudeen,human
shelesh,human
aasish sharma,human
muzim shah,human
acetaminophen / phenyltoloxamine,medicine
dexasone,medicine
nitish bhardwaj,human
tapan kumar,human
shankar parsad shah,human
mohd hanif,human
nicotrol ns,medicine
farmaan khan,human
vinaysingh,human
jhalla re,human
chandrram,human
stimate,medicine
noroxin,medicine
glucosamine,medicine
mangat singh,human
banti,human
vanshu,human
baidnath,human
prostatitis,diagnosis
skelaxin,medicine
xyrem,medicine
madan mohan,human
jay narayan,human
hasir,human
dalip,human
geeta,human
sanjay kumar kukreja,human
amuchla barman,human
sahil,human
clobetasol,medicine
uday,human
tejpal sharma,human
baksi,human
arjun giri,human
mohd. firoz,human
timoptic,medicine
moolchul,human
desonide,medicine
imamuddin,human
esgic,medicine
suwa lal,human
fakrrudeen,human
extina,medicine
garupal singh,human
pitar topo,human
makhan singh,human
3</span> users found this comment helpful.,diagnosis
shri rameshwar lal,human
ram avatar,human
altoprev,medicine
yash garg,human
cortizone-10,medicine
surya kumar saini,human
devi dass,human
birbal ram s/o,human
gengraf,medicine
mannulal,human
alesse,medicine
kapil jakhad,human
aidtya,human
mahasingh,human
rajesh kumar gupta,human
rasagiline,medicine
sandeep goyal,human
saket,human
bhahadur,human
jitesh agarwal,human
seborrheic dermatitis,diagnosis
jatin kumar,human
sanjey kumar,human
ashok kenoor,human
pera chandra,human
vikram  routela,human
sukjveer singh,human
noore alam,human
M/45years,human
puran chand,human
chitra,human
etahsaam,human
non-hodgkin's lymphoma,diagnosis
raj ram,human
min / saxagliptin),diagnosis
cesamet,medicine
sohan singh rawat,human
shanvaj,human
bittu paswan,human
biraj pal,human
osteo bi-flex,medicine
obsessive compulsive disorde,diagnosis
omprakesh,human
alocril,medicine
jagdish ram,human
subesh,human
dinesh mongia,human
vicks qlearquil nighttime allergy relief,medicine
pristiq,medicine
kaif,human
homa soji,human
nakched parsad,human
shreee mahaverr prasad,human
jaibir,human
sandeep kumar,human
bactrim,medicine
sagan lal chalan,human
shekh malik,human
gianvi,medicine
naved,human
mohd masoom billa,human
iarfan mohammad,human
jai shanker,human
silver,medicine
laliya,human
Usha Jamkhedkar,human
yashin,human
cedax,medicine
peginterferon alfa-2a,medicine
mo. firoj,human
enteragam,medicine
parshant sharma,human
bulad akhtar,human
kanchi sing,human
sohnal kumar singh,human
vidit tyagi,human
jaivind kohali,human
sashi,human
hararat,human
rhinocort,medicine
kayum,human
55</span> users found this comment helpful.,diagnosis
dharmender sahu,human
pawan kumar shri vastav,human
naveen kumar,human
mahesh meena,human
rakesh kumar meena,human
gonsan topno,human
gandharv mishra,human
sukhram,human
rahish kha,human
ajay negi,human
flibanserin,medicine
novolin n,medicine
chhidu ali,human
pankaj kumar,human
makan singh,human
lalit alias lowan,human
miacalcin,medicine
pavan kumar sharma,human
migergot,medicine
tejpal singh,human
jahid,human
ledipasvir / sofosbuvir,medicine
ravindr,human
pawan jangir,human
raju ninama,human
sanjay charee,human
krystexxa,medicine
lehru lal,human
rishi mandal,human
vakil,human
bacitracin / neomycin / polymyxin b,medicine
simponi,medicine
sahnawaz,human
kunal mayank,human
vijay rajpoot,human
dharampal,human
nitish negi,human
biotin,medicine
avar ls cleanser,medicine
citalopram,medicine
chain singh,human
brijmohan,human
satya sunder pauigrali,human
jag mohan,human
nihal singh,human
sandeep singh,human
anil jain,human
neeraj jain,human
suresh dass,human
patanase,medicine
yameen,human
abhishek bajwan,human
satayanarayan,human
asha,human
benign essential trem,diagnosis
oxymetazoline,medicine
"gout, acute",diagnosis
hyosyne,medicine
tylenol arthritis pain,medicine
ashok kumar gha,human
normodyne,medicine
anjan kumar sharma,human
bazedoxifene / conjugated estrogens,medicine
nedocromil,medicine
oxcarbazepine,medicine
vijay mann,human
mohd abusala,human
lo loestrin fe,medicine
prozac,medicine
adrenocortical insufficiency,diagnosis
edris yusuf zai,human
jagdish kalra,human
vicky singh,human
shivraj singh,human
senokot,medicine
hot flashes,diagnosis
gjender,human
ganesh malik,human
ranjay pandit,human
iklakh,human
mucinex,medicine
nej bahadur thapa,human
vishwjeet devnath,human
prakash lal gupta,human
prince shonak,human
hypertriglyceridemia,diagnosis
kuldeep kasyp,human
